name,scope,sha256_plugin,sha256_vault,identical,classification_sugerida,bytes_plugin,bytes_vault,model_plugin,model_vault,tools_plugin,has_Agent_plugin,has_Bash_plugin,filename_plugin,filename_vault
gameplay_engineer,VAULT_ONLY,,149443d33d9e9a8951c48710795edc5579484274d853602e97a4d23fd005de1d,,INTENTIONAL-EXCLUSION,,9162,,opus,,,,,gameplay_engineer.md
growth-engineer,INTERSECTION,fa05fc70a8a6704a071656a92eed4ad9a6b257225b6940c7ab2a343e1d99a7f8,8485b92f9e41d6163646aee94ff0f8f29cd4402667c22a117c98c53505914c57,no,CORE-GENERIC,4251,3183,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,growth-engineer.md,growth-engineer.md
hardware-engineer,INTERSECTION,5a618451bb7cb2813c6782a1b496be950093f0528a24fa1b922a9c9b2aa78c93,5a3f2aac36fc04dac2763684763d2bc448795dfa435105157e101ab264301c7d,no,CORE-GENERIC,15702,14213,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,hardware-engineer.md,hardware-engineer.md
i18n-l10n-specialist,INTERSECTION,b8e8920ef7c1a9f36541e311a5a77100e4738951da209de758277cf6fd590d83,81f6ea20f0d35fafedd1dc8410e00294b8749fdca1de64b5be903cf8da0578dd,no,CORE-GENERIC,16780,15822,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,i18n-l10n-specialist.md,i18n-l10n-specialist.md
internal-auditor,INTERSECTION,c99f8372fcdaea8b53afd22554f12cb6defeec088b4f6b098c0e70ae223ab08e,e335fc67e196e172723f1fe49e114da2bbedec596a2c6de9e73191613433305e,no,CORE-GENERIC,7773,6543,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,internal-auditor.md,internal-auditor.md
lead-game-designer,VAULT_ONLY,,0ce39378b43544e2c191fde9db00147eca4b19bee90a1cabb373d16de2cfddbc,,INTENTIONAL-EXCLUSION,,12742,,opus,,,,,lead-game-designer.md
learning-designer,VAULT_ONLY,,eea124c263f9700d803bf75326568d6d82d4cd9a4f1c6d8dd28b5538a8f83af9,,INTENTIONAL-EXCLUSION,,15125,,opus,,,,,learning-designer.md
level-designer,VAULT_ONLY,,0fbbb2a7a0ab708aef226ed10dc2a10318bdef4a6e6d2519d76b8e6234b64ca8,,INTENTIONAL-EXCLUSION,,12135,,opus,,,,,level-designer.md
linux-diag,VAULT_ONLY,,82925df662fd29a2060f7026f9b979309a28e81905150dd372132b2b77a77add,,PERSONAL-OVERLAY,,4722,,sonnet,,,,,linux-diag.md
ml-engineer,INTERSECTION,488b541b4c7fb53aef1bbaeb0afb8fe1c247af6214e5c3b286db77a86a6779c1,6ac7bf939891fd692f47825cd5019725989748f944b6ea38a65fc4825a365e18,no,CORE-GENERIC,15311,13844,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,ml-engineer.md,ml-engineer.md
mobile-engineer,INTERSECTION,04a1934ffa06d85ddba6a27cf0aeaf9be4bbeb15c8bcecb18c6842cca845e9bd,700c054c39dbe03d6fae8bf02c84c4c422869850e91892111902ef19e004fade,no,CORE-GENERIC,13073,11774,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,mobile-engineer.md,mobile-engineer.md
narciso-ciso,INTERSECTION,d7816e2ff241edc078788352d4f098bab0b6c071dedad5d9e559e6993236074e,845dcc100b487bc23bda5a84b739fa41769dec1f03bfb9bda11994063d2bd04f,no,CORE-GENERIC,5333,3843,opus,opus,Agent;Read;Edit;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;Write;AskUserQuestion,yes,yes,narciso-ciso.md,narciso-ciso.md
narrative-designer,VAULT_ONLY,,3bf1215f9bf5b81f600848fe35a2281f2c5fee68542a138c058390519609f07e,,INTENTIONAL-EXCLUSION,,19393,,opus,,,,,narrative-designer.md
narrative-writer,VAULT_ONLY,,6c8be04c0e084b93f5bd84c823c51b8688c83662f79bafc0e74c17709af2f9c8,,INTENTIONAL-EXCLUSION,,23205,,opus,,,,,narrative-writer.md
network-engineer,INTERSECTION,6db0d478d731f568a457a71b79f4738c159070f90264897b82f0792a6d463fe6,5e9fae63c16048e93f631e6122c593b6fa24ad3e76745f95656bcec6d16fcc67,no,CORE-GENERIC,6157,4897,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,network-engineer.md,network-engineer.md
network-security-engineer,INTERSECTION,2f984df2309f2e4fc016f01ae9938264e55ac3535e87ea23e9442a15600a4f46,936be2ec53021e8c01e2e0bc290c9c2e74e743cfa5c432eecbc9aa3648a998b3,no,CORE-GENERIC,6496,5174,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,network-security-engineer.md,network-security-engineer.md
performance-engineer,INTERSECTION,c01da4aadb854cd8e8d24fd673942efd2777670f7c2677ef360894589e0f8999,48f64bd4f6729811a22005d86b09200e5701f43099c1d43d3b95926d2304991d,no,CORE-GENERIC,5560,4282,opus,opus,Read;Edit;Write;Grep;Glob;Bash;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,yes,performance-engineer.md,performance-engineer.md
pr-comms,INTERSECTION,ee543e56a0901a8a1ac8a5dd829ce0608b465763dd81a35f894bd8e3b4cea6f6,6a8355cb7df4e5f33eef5afca3ae138f2327aa9d6448835752608711b3f61a62,no,CORE-GENERIC,4032,3191,opus,opus,Read;Edit;Write;Grep;Glob;WebFetch;WebSearch;TaskCreate;TaskGet;TaskList;TaskUpdate;AskUserQuestion,no,no,pr-comms.md,pr-comms.md
